team_velocity,completed_tasks,pending_tasks,bugs_count,team_capacity,sprint_success
45,28,5,2,80,1
30,15,18,8,60,0
55,35,3,1,90,1
20,10,22,12,50,0
60,40,2,0,95,1
35,20,14,6,70,0
50,32,6,3,85,1
25,12,20,10,55,0
65,42,1,0,100,1
15,8,25,15,40,0
48,30,7,2,82,1
22,11,21,11,52,0
58,38,4,1,88,1
28,14,18,9,58,0
62,41,2,0,96,1
32,18,16,7,65,0
52,33,5,2,86,1
18,9,23,13,45,0
56,36,4,1,89,1
40,25,10,4,75,1
38,22,12,5,72,0
44,28,8,3,78,1
26,13,19,10,56,0
60,39,3,1,93,1
34,19,15,6,67,0
46,29,7,2,81,1
24,12,21,11,53,0
54,35,5,1,87,1
42,26,9,3,76,1
36,21,13,5,70,0
70,45,1,0,100,1
10,5,28,18,30,0
66,43,2,0,97,1
14,7,26,16,38,0
68,44,1,0,98,1
12,6,27,17,35,0
64,42,2,0,96,1
16,8,24,14,42,0
72,46,1,0,100,1
8,4,30,20,25,0
47,30,6,2,83,1
23,11,22,11,51,0
57,37,4,1,90,1
29,15,17,8,59,0
61,40,2,0,94,1
33,18,15,6,66,0
51,32,6,2,85,1
19,9,24,13,46,0
55,36,4,1,88,1
41,26,10,4,74,1
